publisher,genres,developers,description,title,url,review_link,price,ign_score,platforms,release_date,related_games,community_score_phrase,community_score,rating_content,rating_category,ign_score_phrase
Destineer,Flight,Big John Games,"Spitfire Heroes: Tales of the Royal Air Force brings the heroic actions of the RAF to the Nintendo DS with intuitive flight mechanics, devious enemy pilots, and wireless support for up to four players. Players fly for the Royal Air Force through missions based on real events that shaped the outcome of the war.",Spitfire Heroes: Tales of the Royal Air Force,http://www.ign.com/games/spitfire-heroes-tales-of-the-royal-air-force/nds-14229971,http://ds.ign.com/articles/862/862379p1.html,19.99 USD,5.5,NDS,"February 25, 2008","http://www.ign.com/games/star-fox-command/nds-826993,http://www.ign.com/games/b-17-fortress-in-the-sky/nds-826024,http://www.ign.com/games/blades-of-thunder-ii/nds-815489,http://www.ign.com/games/elite-beat-agents/nds-826978,http://www.ign.com/games/super-scribblenauts/nds-45898,http://www.ign.com/games/puzzle-quest-challenge-of-the-warlords/nds-854922,http://www.ign.com/games/pokemon-black-version-2/nds-129224,http://www.ign.com/games/pokemon-conquest/nds-125156,http://www.ign.com/games/pokemon-white-version-2/nds-129228",Amazing,9.3,Violence,E10+ for Everyone 10 and older,Mediocre
"Telenet Japan (Nippon Telenet), Renovation",Adventure,Telenet Japan (Nippon Telenet),"An entry in the the adventure game series following a Japanese schoolgirl named Yuko Ahso who finds herself an ultimate warrior by the prophesy of Vecanti, battling otherworldly demons in this realm and others. This time, Yuko is not alone -- there are three characters to choose from, each with different weapons and skills. All three figures are hot-skirted females -- Yuko has her sword, Valna can shoot fire bolts, and Cham (also known as Char in some translations) has a whip.",Valis III,http://www.ign.com/games/valis-iii/gen-6402,http://retro.ign.com/articles/868/868384p1.html,24.99 USD,7.5,Gen TGCD,1991,"http://www.ign.com/games/pac-man-2-the-new-adventures/gen-6559,http://www.ign.com/games/the-addams-family/gen-9439,http://www.ign.com/games/valis/gen-8984,http://www.ign.com/games/sonic-the-hedgehog-2/gen-1344,http://www.ign.com/games/shining-force-ii/gen-6302,http://www.ign.com/games/sonic-knuckles/gen-1334",Good,7.9,,,Good
Midway  Games,Sports,Midway Amusement Games,"NBA Ballers: Chosen One allows players to live the life of an NBA superstar. Featuring new competitive combo and super-move systems, the NBA Ballers Franchise returns with the amazing realistic graphics for which the franchise is known as players take part in the ultimate challenge to become the next Chosen One. The fast-paced one-on-one and two-on-two action returns as players can select from more than 65 NBA superstars to be the next ""Chosen One"". The franchise's hallmark pick-up-and-play gameplay allows Ballers of all skill levels to master combos and pull off amazing super-moves as they hoop-it-up with the best players in the NBA.",NBA Ballers: Chosen One,http://www.ign.com/games/nba-ballers-chosen-one/xbox-360-14218830,http://xbox360.ign.com/articles/868/868346p1.html,59.99 USD,6.0,Xbox 360 PS3,"April 21, 2008","http://www.ign.com/games/madden-nfl-2013/xbox-360-128097,http://www.ign.com/games/nba-2k17/xbox-360-20052299,http://www.ign.com/games/2014-fifa-world-cup/xbox-360-20012689,http://www.ign.com/games/grand-theft-auto-online/xbox-360-20006860,http://www.ign.com/games/metal-gear-online-mgs5/xbox-360-20028684,http://www.ign.com/games/halo-4/xbox-360-110563",Okay,6.2,,E for Everyone,Okay
Nintendo,Racing,Nintendo,"Mario and friends once again jump into the seat of their go-kart machines for the first Wii installment of this popular franchise. New features this year are an online racing mode, new motorbike vehicle types, a special balancing system for new and veteran players, and (in its initial release) a special Mario Kart wheel packaged with the game.",Mario Kart Wii,http://www.ign.com/games/mario-kart-wii/wii-949580,http://wii.ign.com/articles/868/868012p1.html,49.99 USD,8.5,Wii,"April 27, 2008","http://www.ign.com/games/need-for-speed-undercover/wii-14234991,http://www.ign.com/games/need-for-speed-nitro/wii-14319197,http://www.ign.com/games/mx-vs-atv-untamed/wii-947105,http://www.ign.com/games/boom-blox/wii-892269,http://www.ign.com/games/nba-jam/wii-56365,http://www.ign.com/games/mario-super-sluggers/wii-14209902,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/wii-865246,http://www.ign.com/games/the-last-story/wii-59789,http://www.ign.com/games/the-legend-of-zelda-skyward-sword/wii-872155",Great,8.7,Comic Mischief,E for Everyone,Great
Konami,Productivity,,"Diary Girl packs friends, fun and organization in a password-protected electronic journal for Nintendo DS.  Featuring a daily calendar and an address book, Diary Girl is a lifestyle accessory for the busiest girl around.  Players are given their own avatar to customize with various clothes and accessories, as well as make-up and hair. For the girl on-the-go, advanced DS capabilities allow young gamers to talk to their friends in realtime without a cell phone using the WiFi voice chat function of the game, and instant message with the Picto-chat style text messaging service.  To complete the Diary Girl package, players can also participate in mini-games including mazes, jig saw puzzles, card matching, and personality quizzes.",Diary Girl,http://www.ign.com/games/diary-girl/nds-967000,http://ds.ign.com/articles/867/867900p1.html,29.99 USD,4.5,NDS,"March 18, 2008","http://www.ign.com/games/bartender-ds/nds-959642,http://www.ign.com/games/ping-pals/nds-707316,http://www.ign.com/games/battle-get-pokemon-typing-game/nds-99025,http://www.ign.com/games/pokemon-black-version-2/nds-129224,http://www.ign.com/games/pokemon-conquest/nds-125156,http://www.ign.com/games/pokemon-white-version-2/nds-129228",Masterpiece,10,,E for Everyone,Bad
Silverlode Interactive,"Persistent Online, Strategy","Saga Games, Silverlode Interactive","Saga is a persistent-world real-time strategy game set in a fantasy universe inhabited by Elves, Dwarves, Ogres, Giants, Demons, Dark Elves and mechanical beings. Players collect troops, build armies, conquer new lands and build up kingdoms that exist even when the player is not online, complete with resource collection, city building and peasant management. Saga includes massive armies that gain experience through subsequent battles, multiplayer questing, an auction house for trading troops and spells, guild wars and espionage.",Saga,http://www.ign.com/games/saga/pc-877653,http://pc.ign.com/articles/867/867833p1.html,19.95 USD,5.0,PC,"March 4, 2008","http://www.ign.com/games/halo-wars-2/pc-20041132,http://www.ign.com/games/starcraft-remastered/pc-20066763,http://www.ign.com/games/rome-total-war-2/pc-136961,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505",Okay,6.4,,RP for Rating Pending,Mediocre
Sony Computer Entertainment,Flight,Incognito Entertainment,"The heart-pounding, gut-wrenching thrill of Warhawk get even more intense with the second expansion pack. This second release includes a new stage and a brand new vehicle.",Warhawk -- Operation: Broken Mirror,http://www.ign.com/games/warhawk-operation-broken-mirror/ps3-14237373,http://ps3.ign.com/articles/867/867930p1.html,7.99 USD,8.5,PS3,"April 17, 2008","http://www.ign.com/games/warhawk-892084/ps3-748468,http://www.ign.com/games/damage-inc-pacific-squadron-wwii/ps3-136266,http://www.ign.com/games/ace-combat-assault-horizon/ps3-82903,http://www.ign.com/games/amplitude-hd/ps3-20017510,http://www.ign.com/games/twisted-metal/ps3-951234,http://www.ign.com/games/sports-champions-2/ps3-135395,http://www.ign.com/games/grand-theft-auto-online/ps3-20006859,http://www.ign.com/games/metal-gear-online-mgs5/ps3-20028682,http://www.ign.com/games/the-elder-scrolls-v-skyrim-dragonborn/ps3-146419",Great,8.3,"Blood, Violence",T for Teen,Great
Ubisoft,Sports,,"In Imagine Figure Skater, players live the life of a champion who needs to balance her life between training, school and friends. Girls take on the role of a professional figure skater and use the stylus to perform jumps, spins and a variety of skating combinations.",Imagine: Figure Skater,http://www.ign.com/games/imagine-figure-skater/nds-945418,http://ds.ign.com/articles/864/864483p1.html,29.99 USD,6.5,NDS,"March 4, 2008","http://www.ign.com/games/inazuma-eleven/nds-959942,http://www.ign.com/games/mario-sonic-at-the-olympic-games/nds-896693,http://www.ign.com/games/inazuma-eleven-2-blizzard/nds-14284019,http://www.ign.com/games/pokemon-black-version-2/nds-129224,http://www.ign.com/games/pokemon-conquest/nds-125156,http://www.ign.com/games/pokemon-white-version-2/nds-129228",Amazing,9.8,No Descriptors,E for Everyone,Okay
Crave Entertainment,Action,,"Based on the beloved Jay Ward classic, fans will be able to experience George of the Jungle in a brand new way!  Grab your stylus and swing into the fun as George and his friends jump into another hilarious adventure.",George of the Jungle and the Search for the Secret,http://www.ign.com/games/george-of-the-jungle-and-the-search-for-the-secret/nds-907946,http://ds.ign.com/articles/867/867875p1.html,29.99 USD,5.4,NDS PS2 Wii,"March 11, 2008","http://www.ign.com/games/the-legend-of-zelda-phantom-hourglass/nds-694756,http://www.ign.com/games/the-legend-of-zelda-spirit-tracks/nds-14333936,http://www.ign.com/games/kingdom-hearts-3582-days/nds-964462,http://www.ign.com/games/pokemon-black-version-2/nds-129224,http://www.ign.com/games/pokemon-conquest/nds-125156,http://www.ign.com/games/pokemon-white-version-2/nds-129228",Masterpiece,10,Comic Mischief,E for Everyone,Mediocre
Jaleco,Sports,Jaleco,"A downloadable version of the 1988 NES game, provided through Nintendo's Virtual Console service.

Bases Loaded lets you play like the pros. You can control every aspect of the game. Choose what type of pitch to throw and where to put it. Try to swing for the fences or lay down a bunt the choice is your. All of the action uses realistic player models, not cartoons. Play as one of 12 teams with 30 players. You will have to learn the unique characteristics of all 360 players if you want the most success. Try to get through an entire season by recording your wins and losses with a password save system. Realistic baseball action comes to any room in your house with Bases Loaded.",Bases Loaded,http://www.ign.com/games/bases-loaded/wii-14245439,http://wii.ign.com/articles/866/866856p1.html,5 USD,4.5,Wii NES Cell GB Wii U 3DS,"April 7, 2008","http://www.ign.com/games/wii-sports/wii-826987,http://www.ign.com/games/wii-sports-resort/wii-14266992,http://www.ign.com/games/fifa-2013/wii-115690,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/wii-865246,http://www.ign.com/games/the-last-story/wii-59789,http://www.ign.com/games/the-legend-of-zelda-skyward-sword/wii-872155",Okay,6.4,,E for Everyone,Bad
Microsoft,Action,Zen Studios,"Based on the highly popular cartoon series of the same name, ""Rocky and Bullwinkle"" on Xbox LIVE Arcade is a fast and fun party experience packed with over 100 micro-games and decked out in an authentic retro art style. All your favorite characters are coming straight out of Frostbite Falls and into your living room: Rocky, Bullwinkle, Boris, Natasha, Dudley Do-Right and many more. Plus, players with an Xbox LIVE Vision camera can control 25 of these games using fun gestures.",Rocky and Bullwinkle,http://www.ign.com/games/rocky-and-bullwinkle/xbox-360-14228265,http://xboxlive.ign.com/articles/866/866688p1.html,10 USD,3.0,Xbox 360,"April 16, 2008","http://www.ign.com/games/grand-theft-auto-online/xbox-360-20006860,http://www.ign.com/games/metal-gear-online-mgs5/xbox-360-20028684,http://www.ign.com/games/metal-gear-solid-5/xbox-360-149842,http://www.ign.com/games/grand-theft-auto-online/xbox-360-20006860,http://www.ign.com/games/metal-gear-online-mgs5/xbox-360-20028684,http://www.ign.com/games/halo-4/xbox-360-110563",Bad,4.4,,E for Everyone,Awful
Sony Computer Entertainment,Racing,Polyphony Digital,"Gran Turismo 5 Prologue showcases the automotive experience that is imminent with Gran Turismo 5. Featuring up to 50 meticulously detailed cars - including vehicles by Ferrari, Lotus and Nissan - for users to race on five beautifully rendered reversible tracks from around the globe, Gran Turismo 5 Prologue runs in full high definition at 1080p. Additionally, in conjunction with a robust offline experience, for the first time in the history of the franchise Gran Turismo 5 Prologue supports up to 16 players racing head-to-head online, complete with global leaderboards, to quell any question of who is the best driver in the ""World of GT."" Furthermore, a feature called My Garage allows users to develop a personal profile page within the game and interact with other car enthusiasts from around the globe.",Gran Turismo 5 Prologue,http://www.ign.com/games/gran-turismo-5-prologue/ps3-949777,http://ps3.ign.com/articles/866/866698p1.html,39.99 USD,8.5,PS3,"April 15, 2008","http://www.ign.com/games/littlebigplanet-karting/ps3-128163,http://www.ign.com/games/gran-turismo-5/ps3-857126,http://www.ign.com/games/twisted-metal/ps3-951234,http://www.ign.com/games/grand-theft-auto-online/ps3-20006859,http://www.ign.com/games/metal-gear-online-mgs5/ps3-20028682,http://www.ign.com/games/the-elder-scrolls-v-skyrim-dragonborn/ps3-146419",Great,8.1,Mild Suggestive Themes,E for Everyone,Great
2K Play,Adventure,Totally Games,"Dora and Boots need your help bringing a magic crown back to Mariana the Mermaid. Travel over land and sea to save her kingdom from a mean, garbage-dumping Octopus! Then help Dora dive to the rescue when she magically becomes a mermaid herself!",Dora the Explorer: Dora Saves The Mermaids,http://www.ign.com/games/dora-the-explorer-dora-saves-the-mermaids/ps2-14225804,http://ps2.ign.com/articles/866/866295p1.html,29.99 USD,5.0,PS2 PS3 NDS,"February 11, 2008","http://www.ign.com/games/ico/ps2-14833,http://www.ign.com/games/shadow-of-the-colossus/ps2-490849,http://www.ign.com/games/silent-hill-2/ps2-14904,http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/god-of-war-ii/ps2-888576",Masterpiece,10,No Descriptors,E for Everyone,Mediocre
Paradox  Interactive,Strategy,Paradox  Interactive,"Europa Universalis: Rome covers the time period from the first Punic War to the start of the true Empire. Players have thousands of gameplay choices ranging from country, culture, provincial and character options to name but a few, making each and every game infinitely customizable and truly unique.",Europa Universalis: Rome,http://www.ign.com/games/europa-universalis-rome/pc-5707290,http://pc.ign.com/articles/866/866374p1.html,49.99 USD,8.7,PC,"April 15, 2008","http://www.ign.com/games/halo-wars-2/pc-20041132,http://www.ign.com/games/starcraft-remastered/pc-20066763,http://www.ign.com/games/rome-total-war-2/pc-136961,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505",Okay,6.8,"Alcohol Reference, Mild Violence",E10+ for Everyone 10 and older,Great
SEGA,Shooter,SEGA,"A downloadable version of the 1989 game (Master System version), provided through Nintendo's Virtual Console service.

Take command of the spaceship Opa-Opa and blast your way through various fantastical levels as you try to take out all the enemy bases in each stage.  Once you've destroyed the bases, you'll have to beat the stage boss in order to move on to the next level.  By using your guns and bombs wisely, you'll be able to take down your enemies and explore each of the crazy environments in this side-scroller.  You can also buy upgraded weapons for your ship by accessing the shop.  Various SEGA games through the years have referenced the Opa-Opa – now you can play the game that started it all.",Fantasy Zone,http://www.ign.com/games/fantasy-zone/wii-14243052,http://wii.ign.com/articles/866/866238p1.html,5 USD,8.5,Wii NES Saturn TG16 SMS PS2 Arcade 3DS,"April 14, 2008","http://www.ign.com/games/call-of-duty-modern-warfare-3/wii-114747,http://www.ign.com/games/goldeneye-007/wii-867280,http://www.ign.com/games/resident-evil-umbrella-chronicles/wii-827187,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/wii-865246,http://www.ign.com/games/the-last-story/wii-59789,http://www.ign.com/games/the-legend-of-zelda-skyward-sword/wii-872155",Great,8.1,,E for Everyone,Great
Capcom,Adventure,"Ready At Dawn Studios, Clover Studio","Wii port of the first original title from Capcom's now defunct Clover Studio 
-- headed up by

producer Atsushi Inaba.The 
multiple award-winning action adventure Ōkami is now available on 
the Wii! Use the Wii Remote as a paintbrush to solve puzzles, create 
pathways, chop down trees or turn night into day. Ōkami comes 
alive through beautiful scenic 3D levels that have the appearance and 
texture of paper scrolls brushed with watercolor-like calligraphy art. 
Playing as Amaterasu, the sun goddess who takes on the form of a wolf, 
your goal is to bring life back to the world.

Redesigned to take advantage of this unique platform, the Wii version 
sports widescreen graphics and motion controls. Players uses the Wii 
Remote as the 'celestial brush' in an effort to seal ancient evils once again.",Okami,http://www.ign.com/games/okami/wii-884970,http://wii.ign.com/articles/865/865958p1.html,39.99 USD,9.0,Wii PS3 PS2,"April 15, 2008","http://www.ign.com/games/fatal-frame-ii-crimson-butterfly/wii-87940,http://www.ign.com/games/back-to-the-future-the-game/wii-116482,http://www.ign.com/games/silent-hill-shattered-memories/wii-14325477,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/wii-865246,http://www.ign.com/games/the-last-story/wii-59789,http://www.ign.com/games/the-legend-of-zelda-skyward-sword/wii-872155",Amazing,9.2,"Blood and Gore, Crude Humor, Fantasy Violence, Suggestive Themes, Use of Alcohol and Tobacco",T for Teen,Amazing
